"gdp_pps","unemployment","life_expectancy","disposable_income","poverty_risk","early_school_leaving","tertiary_edu","emp_agriculture","emp_industry","emp_services","rd_expenditure","pop_density","renewables_share","ghg_emissions","municipal_waste","geo","country"
14700,2.3,74.9,68,13.8,6.6,25.3,4.25130890052356,29.9685863874346,23.7905759162304,1.13,89,14.134,51301958.59,420,"HU22","HU"
10900,4.7,73.7,51,25.8,13.1,20.4,6.62162162162162,23.2162162162162,20.972972972973,0.86,63.4,14.134,51301958.59,420,"HU23","HU"
11000,6.2,72,51,27.4,22.7,18.8,3.38266384778013,30.0634249471459,19.5348837209302,0.65,83.9,14.134,51301958.59,420,"HU31","HU"
10500,7,73,49,27,16.9,20.1,7.21682332324359,23.9286283256333,20.5352875577505,0.96,82.6,14.134,51301958.59,420,"HU32","HU"
11700,4.4,73.7,54,20.8,10.5,22.1,8.7495508444125,25.9252605102408,22.0625224577794,1.37,67.7,14.134,51301958.59,420,"HU33","HU"
40000,5,82.5,102,27.1,12.7,48.7,6.43765903307888,16.3613231552163,22.5699745547074,1.73,35.3,12.945,55789572.54,755,"IE04","IE"
98200,6.5,81.9,250,21.2,10.9,49.4,4.88696358467578,16.732096927034,22.7426560173277,0.8,56.1,12.945,55789572.54,755,"IE05","IE"
98400,6.5,82.5,251,15.9,3.4,56.5,1.6423663482487,10.0050276520865,23.202614379085,1.3,171.7,12.945,55789572.54,755,"IE06","IE"
32200,7.3,82.8,99,17.7,11.4,20,3.21390937829294,26.1327713382508,22.1929516450064,2.08,170.7,18.888,312434637.88,495,"ITC1","IT"
38700,7.3,83,119,11.5,10.9,18.9,8.20652173913043,11.4341085271318,26.5503875968992,0.58,38.4,18.888,312434637.88,495,"ITC2","IT"
32700,8.4,83,100,21.6,12.9,21.9,2.31707317073171,13.9895470383275,29.3379790940767,1.62,281.4,18.888,312434637.88,495,"ITC3","IT"
42500,5.9,83.6,130,16.7,11.3,21.2,1.52878338278932,26.0842729970326,21.8919881305638,1.29,434.1,18.888,312434637.88,495,"ITC4","IT"
26300,9.3,82.8,81,35.5,8,21.2,4.047976011994,20.6468194474191,24.9303919468837,1.14,119.1,18.888,312434637.88,495,"ITF1","IT"
23400,10.9,81.6,72,32.2,7.6,19.5,7.01030927835052,17.7319587628866,22.680412371134,0.95,66.9,18.888,312434637.88,495,"ITF2","IT"
19900,19.3,80.9,61,49.4,16.4,16.5,4.0385735551097,15.4941427739305,28.6648113390719,1.33,415.7,18.888,312434637.88,495,"ITF3","IT"
